workerid,rt,effect,cause,language,age,gender,other_gender,quantifier,object_level,response,object,num_objects,slide_number_in_experiment,enjoyment,asses,comments,trial,Item,ProportionResponse,PriorExpectation
0,8539,blew away,left __ on a table on a windy day,english,37,M,F,All,object_mid,15,hats,15,3,2,Yes,NA,1,blew away hats,1,11.052387485109298
0,4407,fell down,punched __,english,37,F,M,Some,object_mid,4,block towers,15,4,2,Yes,NA,2,fell down block towers,0.26666666666666666,12.263438501967169
0,13127,laughed,told a joke to __,english,37,M,M,short_filler,object_low,0,lawyers,15,5,2,Yes,NA,3,laughed lawyers,0,8.501712492528245
0,7532,beeped,left the lights on in __,english,37,M,F,Some,object_high,6,new cars,15,6,2,Yes,NA,4,beeped new cars,0.4,9.052822868614953
0,5795,stuck to the wall,threw __ against a wall,english,37,M,F,All,object_low,15,baseballs,15,7,2,Yes,NA,5,stuck to the wall baseballs,1,2.260884648323793
0,10756,sank,threw __ into a pool,english,37,M,M,short_filler,object_low,0,balloons,15,8,2,Yes,NA,6,sank balloons,0,1.5445100044791333
0,10209,decomposed,put __ in a compost pile for a month,english,37,M,F,short_filler,object_mid,8,pinecones,15,9,2,Yes,NA,7,decomposed pinecones,0.5333333333333333,9.491784817341596
0,3568,landed flat,tossed __,english,37,M,F,All,object_low,15,notebooks,15,10,2,Yes,NA,8,landed flat notebooks,1,12.070264558564942
0,3543,ate the seeds,left seeds out for __,english,37,F,F,short_filler,object_high,13,birds,15,11,2,Yes,NA,9,ate the seeds birds,0.8666666666666667,12.365944808737018
0,3689,burnt,threw __ into a fire,english,37,F,F,short_filler,object_low,0,rocks,15,12,2,Yes,NA,10,burnt rocks,0,4.621885587211013
0,5984,exploded,heated up __ in a microwave,english,37,M,M,long_filler,object_low,7,CDs,15,13,2,Yes,NA,11,exploded CDs,0.4666666666666667,7.84924747413427
0,3496,had the letter Z in them,wrote __,english,37,F,M,Some,object_high,7,novels,15,14,2,Yes,NA,12,had the letter Z in them novels,0.4666666666666667,12.417127900629465
0,3487,got stained,spilled red nail polish on __,english,37,M,F,None,object_mid,0,white shirts,15,15,2,Yes,NA,13,got stained white shirts,0,14.179492921634642
0,5626,stopped,pressed the brakes on __,english,37,M,M,long_filler,object_high,10,cars,15,16,2,Yes,NA,14,stopped cars,0.6666666666666666,13.476028415983608
0,2543,broke,ran __ over with a car,english,37,M,M,None,object_mid,0,boxes,15,17,2,Yes,NA,15,broke boxes,0,13.227516378151478
0,3774,stuck,glued __ to a piece of paper,english,37,F,F,All,object_high,15,stickers,15,18,2,Yes,NA,16,stuck stickers,1,13.73601014908744
0,3359,honked,cut off __,english,37,M,F,Some,object_mid,8,bus drivers,15,19,2,Yes,NA,17,honked bus drivers,0.5333333333333333,10.112891699999901
0,2033,rhymed,wrote __,english,37,F,F,Some,object_high,7,limericks,15,20,2,Yes,NA,18,rhymed limericks,0.4666666666666667,12.14705218576939
0,3344,melted,left __ in the hot sun,english,37,M,M,All,object_mid,15,crayons,15,21,2,Yes,NA,19,melted crayons,1,13.231037108035327
0,3896,ripped,used __ as dog toys,english,37,M,M,None,object_low,0,shoes,15,22,2,Yes,NA,20,ripped shoes,0,10.387117903875804
0,4543,exploded,lit __,english,37,M,M,long_filler,object_low,0,candles,15,23,2,Yes,NA,21,exploded candles,0,1.159048787109265
0,3169,ran out of batteries,left __ on (and unplugged) all day,english,37,M,F,None,object_high,0,laptops,15,24,2,Yes,NA,22,ran out of batteries laptops,0,12.969289999403273
0,3960,reflected the sunlight,placed __ in the sun,english,37,M,F,None,object_high,0,mirrors,15,25,2,Yes,NA,23,reflected the sunlight mirrors,0,13.609731031190691
0,2152,popped,poked __ with a pin,english,37,F,M,Some,object_high,4,bubbles,15,26,2,Yes,NA,24,popped bubbles,0.26666666666666666,14.421873858181714
0,2159,lit up,pressed the 'on' button on __,english,37,F,F,Some,object_mid,4,computers,15,27,2,Yes,NA,25,lit up computers,0.26666666666666666,13.410494165057099
0,1671,were green,saw __,english,37,M,F,Some,object_mid,5,bananas,15,28,2,Yes,NA,26,were green bananas,0.3333333333333333,5.5415456638101155
0,5992,froze,put __ in the freezer,english,37,M,M,long_filler,object_high,15,berries,15,29,2,Yes,NA,27,froze berries,1,14.377259004987641
0,6394,dissolved,put __ in a bucket of water,english,37,M,M,long_filler,object_high,15,sugar cubes,15,30,2,Yes,NA,28,dissolved sugar cubes,1,14.137852924451185
