Item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ate the seeds birds,0.0014752179829786954,0.012945301443459423,0.0029540840259192668,0.013314853449142518,0.004760419996279738,0.029003064560065878,0.03176772735234925,0.032102072310020976,0.03230963186043563,0.03382042653782477,0.04704336023197742,0.05243066192586065,0.08709915920443402,0.057955006132591184,0.0961530563803489,0.46486595660631164
ate the seeds butterflies,0.13579166343598775,0.036547248566277224,0.008632846254180686,0.018951126769252796,0.022669707285443343,0.03625743895573301,0.029361685780255227,0.06197252128918115,0.09745685231871017,0.11190772402893381,0.07879517543803617,0.03253031257453265,0.03980525424408673,0.042309277098855236,0.05113219874512481,0.19587896721540926
ate the seeds dogs,0.16435338273915448,0.05367524570297143,0.08716563747226559,0.14658275960606573,0.06046424339277649,0.04798243592776141,0.020347652577974776,0.01863018118702261,0.030612741237132018,0.022708063000527832,0.05751154192770668,0.026122061604003672,0.06172631248373331,0.061119491713328235,0.019984962861401313,0.12101328656617448
beeped houses,0.48085887708453423,0.08718346809002042,0.029577807089022745,0.03811701999927236,0.025983618827168608,0.053863197773882106,0.02665161056016857,0.04430970204342984,0.0863196738999314,0.011411107452008634,0.019467328407353757,0.020159208994863106,0.018517134022624733,0.0026022383985786113,0.005606394739082346,0.049371612618058586
beeped new cars,0.07429479527054779,0.025618709527663226,0.03636100287818626,0.05193352560424847,0.05476521016528676,0.06655703428856669,0.04076406190969467,0.053544726378119904,0.06593219640887062,0.03594634472636159,0.007612936503196126,0.03762144924780025,0.08211978374265919,0.07138735547188202,0.06008791645692315,0.23545295141999334
beeped old cars,0.38439688093473373,0.090806138985878,0.09702038351341273,0.049689291365245115,0.0325778351034708,0.032017219644795404,0.04433173238674484,0.05173868865706219,0.1028022906864709,0.03970640775950948,0.03990032715370094,0.0061318864498025516,0.012566878089228082,0.0028731456029141285,0.012016694003081611,0.0014241996639494444
blew away backpacks,0.2566232445551304,0.15203731977273274,0.11752488372936135,0.10666216902611093,0.08852976061138183,0.06332767589901947,0.0629446903563628,0.03447893751511389,0.05234129683899715,0.011939600477807576,0.005522239726352684,0.014822966595011314,0.014503440995883908,0.0036541716195766126,0.003205757963627462,0.011881844317529974
blew away hats,1.3611134690677635e-4,6.403250239221199e-4,0.003013808022996914,0.014186494928762197,0.007505172064417021,0.02273663302915407,0.045078197195465776,0.08048678073771538,0.05452256286975199,0.06920038233304825,0.10810107361698695,0.10698083512823316,0.12184333722367502,0.07753417153704086,0.08178030981751294,0.20625380512441058
blew away napkins,1.0344477908104288e-7,1.0363142360598877e-7,1.0744853570425479e-7,1.855132138669481e-7,1.7820327343214875e-6,3.4432837671739155e-5,7.021823073166713e-4,0.014358487414211614,0.016318592404606765,0.04284470902295738,0.03001708614029997,0.017851214563565775,0.05860507521891262,0.07424585997644602,0.07680195939174114,0.6682181186515838
broke boxes,0.014389406329922177,0.0017133152410042146,2.2765218989135382e-4,2.2827682793041254e-4,0.0017192692022044715,0.014439580044434963,0.002132594722583485,0.003754711548731873,0.029901367577779295,0.012671049752566929,0.07820552773572018,0.05784731231267574,0.05730718964489363,0.07305715506824677,0.08862986799983803,0.5637757238015765
broke logs,0.16922468937537155,0.04546112051891087,0.04258261974829783,0.028328639959910765,0.11664132595200175,0.08725450557603683,0.050838843868741976,0.06517426923575685,0.12753185875083742,0.0435388367858,0.06596605181062219,0.0317730901583376,0.015465288830088658,0.0049298048641721005,0.03148942045680895,0.07379963410830462
broke sunglasses,1.0581131840025373e-7,1.0616939593209329e-7,1.1061823407054272e-7,1.6589162885865865e-7,8.526210796333609e-7,9.384706730770543e-6,1.1538931375063676e-4,0.0014324150878576476,0.017795448152421556,0.00321337287120432,0.022385766554715296,0.058833058399639274,0.05966344888672354,0.033599957027177905,0.14261328689165817,0.6603371309964641
burnt books,4.376141914702429e-7,4.893801760748925e-6,6.913820504247837e-5,9.953432376761467e-4,0.014348347058320225,0.0010646880062312155,0.0010736846498921857,0.014487671433885387,0.003004635919528818,0.029036952872196965,0.006045820921401861,0.05854307237354948,0.018852880268607968,0.00877080449403262,0.10820196935392178,0.7354996597897607
burnt matches,2.109735217241064e-7,1.2772013202291905e-6,1.3356030057573596e-5,1.5019180180415016e-4,0.0017003444562243332,0.019261346388206778,0.019262327155969233,0.0017125224880984757,2.882456194709744e-4,0.0015773157111246962,0.017718693638003706,0.0017731433693185087,0.0025239777602592086,0.027041680684591833,0.10726548988750394,0.7997098768345247
burnt rocks,0.4631107947785371,0.06549701782359782,0.062461155600676554,0.034325985524361245,0.03041785583206972,0.00430329474426906,0.029316014079664318,0.019031043042976006,0.04305374404224508,0.003196489438329555,0.001316283053149627,0.015073919947280847,0.01612365415002125,0.016937641735182567,0.027187073922193224,0.16864803228544603
decomposed banana peels,0.016234782231616295,0.016391614702795845,0.0033851004865072675,0.014806831230207738,0.0016284180147208341,2.0092086974793916e-4,2.226198850285314e-4,0.0018501088432796781,0.01682837474078945,0.021795229907585825,0.05259463448282445,0.06858491482048598,0.0537072178627187,0.03204950019086951,0.11022561502250006,0.5894941167083219
decomposed pinecones,0.13221719702777673,0.016200988562092823,0.020202532529827788,0.02217883797846042,0.03677057118790107,0.02038791079850968,0.003353312443934389,0.011159610815339362,0.1016366365273308,0.0349261997352395,0.0752649076981689,0.0664254261069084,0.09461082538040634,0.06524768264732586,0.06418458071593278,0.2352327798448452
decomposed soda cans,0.7207523161334041,0.043193635180119316,0.002932932246400818,0.028388188960636964,0.028855100489630726,0.01479576310852891,0.0017226976244334594,0.027247839614070936,0.0022328050537801006,0.02724596567387419,0.0016769603273418482,0.013681325893816024,0.0017007456663108561,0.02782649493342408,0.016378009344630035,0.04136921974959769
dissolved carrots,0.7219580456218903,0.09811657529240117,0.041287273179512834,0.006409066794186392,0.0175290866815222,0.017270586776850772,0.0037782674512806336,0.017402461266659102,0.018739322246163682,0.017383738567053025,0.0036064459188349953,0.01571247282185352,0.0034018203096863597,0.015505853086790623,0.0017102599916451438,1.887239936693636e-4
dissolved oreos,0.1333360147299787,0.009176496715918333,0.01712085411029126,0.030553827670817487,0.0018745891658413123,1.8054899374822446e-4,0.0010842083287848987,0.0175946984389889,0.046415294665862875,0.020483580428513747,0.048450482006650274,0.050963746021759536,0.06420446441427366,0.03780409260119026,0.0736667357028477,0.44709036600453284
dissolved sugar cubes,1.0231265877704243e-7,1.0285737197513992e-7,1.2220866727343596e-7,8.096761841791684e-7,2.5232412725342277e-5,8.928662215833315e-4,0.03171612900397626,0.0013394440226031734,0.015902773634556663,0.0013645747724448428,0.032609622849025015,0.03263484374227512,0.0022864944521438233,0.048655307668241915,0.03950141207271078,0.7930701620928315
exploded balls of tin foil,0.11198046521806142,0.02324499360016923,9.89397358495416e-4,1.4170245758279287e-4,0.0023581606822178345,0.055601962041532456,0.0024574756067464935,0.0024894639902273297,0.05639014186939298,0.020958399926553524,0.0025256428011369244,0.03874446887211863,0.040315631007787345,0.041238393083572474,0.06148092426331748,0.5390827772210877
exploded candles,0.7542023679892921,0.11687602978874148,0.01362231537385901,0.003301444559068085,0.015502801309186808,0.0018292646468559051,6.345109221723773e-4,0.003767740917231308,0.03260434611700778,0.02059879628890046,0.01748403825773667,0.002010699203107168,2.539183770833798e-4,2.2865862351166184e-4,0.0017625939011307822,0.015320473725115066
exploded CDs,0.2667939686691108,0.04961060669315328,0.0050675365236997165,0.017415205666415075,0.03311573448123376,0.03627292481280742,0.06233172946859217,0.01952367066759391,0.003739658453079975,0.029938644615232827,0.007925932601261797,0.07489442750953426,0.02187225270565963,0.022241042779883986,0.08014110775596933,0.2691155565967721
